name,source,regex,table_formal,config,best_config_larger_train,R,CRasp,Rinf,R_G
1,lower,(bbac)*,(bbac)*,1l1h64d,6l4h256dsmalllr,False,True,True,True
100,lower,(ab)*|(bb)*,(ab)* + (bb)*,12l8h256dsmalllr,12l4h64d,False,False,False,True
1056,lower,(bab|b)*,(bab + b)*,4l2h256d,4l1h256d,False,False,False,False
1062,lower,(bb)*(bb)*,(bb)*(bb)*,12l8h256dsmalllr,8l4h64d,False,False,False,True
1094,lower,(c|b(a)*)*,(c + b(a)*)*,2l1h256d,12l12h768d,False,False,False,False
1172,lower,((b)*ac)*,((b)*ac)*,2l2h256d,12l12h768d,False,False,False,False
1190,lower,b|(bb)*,b + (bb)*,2l4h64d,4l1h256dsmalllr,False,False,False,True
1199,lower,(bc(c)*)*,(bc(c)*)*,4l4h256d,2l4h256d,False,False,False,False
1229,lower,acabcc(c)*,acabcc(c)*,1l1h16d,6l4h64d,True,True,True,True
124,lower,(baa|a)*,(baa + a)*,12l8h256d,12l12h768d,False,False,False,False
1270,lower,bbcc(aa)*,bbcc(aa)*,4l4h256d,4l1h256dsmalllr,False,False,False,True
129,lower,(ac)*c|ba|a,(ac)*c + ba + a,1l1h64dsmalllr,1l1h16dsmalllr,False,True,True,True
1299,lower,(ab(a)*)*,(ab(a)*)*,12l12h768d,8l8h64d,False,False,False,False
1322,lower,(b|a)*aaac,(b + a)*aaac,12l12h768d,8l8h256d,False,False,False,False
1323,lower,(cc)*,(cc)*,8l8h256dsmalllr,6l4h64dsmalllr,False,False,False,True
134,lower,(bb)*cbac,(bb)*cbac,2l1h256dsmalllr,2l1h64d,False,False,False,True
136,lower,((a)*ac)*,((a)*ac)*,2l2h256d,2l2h256d,False,False,False,False
1396,lower,((b)*)*(ab)*,((b)*)*(ab)*,8l4h256dsmalllr,12l8h64d,False,True,True,True
1408,lower,((b)*ab)*,((b)*ab)*,12l12h768d,2l4h256d,False,False,False,False
141,lower,bba(c|a)*,bba(c + a)*,1l1h16d,6l4h64d,True,True,True,True
146,lower,(ac(a)*)*,(ac(a)*)*,12l12h768d,2l4h64d,False,False,False,False
1531,lower,cb(a)*baa,cb(a)*baa,4l4h256d,6l8h64d,True,True,True,True
1539,lower,(cca|a)*,(cca + a)*,12l12h768d,2l1h256d,False,False,False,False
1542,lower,(b)*baa,(b)*baa,1l4h256d,1l2h256d,True,True,True,True
1550,lower,cb(a)*|abbc,cb(a)* + abbc,1l1h16d,6l4h64d,True,True,True,True
1563,lower,(aa|(b)*)*,(aa + (b)*)*,12l4h256dsmalllr,12l8h256dsmalllr,False,False,False,True
1578,lower,aa(a)*c,aa(a)*c,1l1h256d,6l4h64d,True,True,True,True
1584,lower,aa|ca(aa)*,aa + ca(aa)*,6l8h256dsmalllr,8l8h64d,False,False,False,True
1636,lower,(aa|aa)*,(aa + aa)*,12l8h64d,12l8h64d,False,False,False,True
1672,lower,(a)*(a)*b|aac,(a)*(a)*b + aac,1l1h64d,6l4h64d,True,True,True,True
1673,lower,(a|c)*cbbb,(a + c)*cbbb,2l4h256d,8l8h256d,False,False,False,False
1677,lower,(bb)*ab|ac,(bb)*ab + ac,4l4h256dsmalllr,12l8h64dsmalllr,False,False,False,True
1686,lower,bc(b)*abbb,bc(b)*abbb,2l4h256d,4l2h256d,True,True,True,True
169,lower,(cc)*cccb,(cc)*cccb,2l1h256dsmalllr,6l4h256dsmalllr,False,False,False,True
1696,lower,(ca)*(cb)*,(ca)*(cb)*,1l2h64dsmalllr,6l4h64dsmalllr,False,True,True,True
1700,lower,(b)*cbbcaa,(b)*cbbcaa,2l4h256d,12l8h256dsmalllr,True,True,True,True
1704,lower,(cc)*ccb|b,(cc)*ccb + b,4l2h256dsmalllr,12l4h64d,False,False,False,True
1709,lower,((b)*b)*,((b)*b)*,1l1h16d,6l4h64d,True,True,True,True
1740,lower,((a)*)*(ac)*,((a)*)*(ac)*,12l4h256d,6l4h64dsmalllr,False,True,True,True
1783,lower,ccc(ba)*,ccc(ba)*,1l1h16d,6l4h256d,False,True,True,True
1786,lower,bccb(aa)*,bccb(aa)*,6l4h256dsmalllr,4l2h64d,False,False,False,True
1797,lower,bcac(a)*|ba,bcac(a)* + ba,1l1h16d,6l4h64d,True,True,True,True
1804,lower,(ba)*(b)*bc,(ba)*(b)*bc,1l2h16d,6l8h64d,False,True,True,True
1813,lower,(b)*cc(ca)*,(b)*cc(ca)*,1l1h256dsmalllr,1l1h256dsmalllr,False,True,True,True
1879,lower,(ac)*ba(b)*,(ac)*ba(b)*,1l1h16d,1l1h16d,False,True,True,True
1888,lower,(cab|c)*,(cab + c)*,16l8h768d,2l4h256d,False,False,False,False
1897,lower,(a)*b|acab,(a)*b + acab,1l1h256d,6l4h256d,True,True,True,True
1916,lower,(a|ac|a)*,(a + ac + a)*,2l1h256d,2l2h256d,False,False,False,False
192,lower,(ca)*(a)*bb,(ca)*(a)*bb,1l2h64d,1l2h64d,False,True,True,True
1929,lower,aba|c(bb)*,aba + c(bb)*,6l8h256dsmalllr,6l4h256dsmalllr,False,False,False,True
1932,lower,(b)*(b)*(aa)*,(b)*(b)*(aa)*,4l1h64d,6l4h64d,False,False,False,True
1935,lower,((a)*ca)*,((a)*ca)*,2l4h64d,2l2h256d,False,False,False,False
1941,lower,b|ca|b(c|a)*,b + ca + b(c + a)*,1l1h16d,1l1h16d,True,True,True,True
1946,lower,(abbc)*,(abbc)*,8l8h256d,1l1h16dsmalllr,False,True,True,True
1960,lower,(cbb|b)*,(cbb + b)*,12l12h768d,2l4h256d,False,False,False,False
1970,lower,(a|c)*(cb)*,(a + c)*(cb)*,4l4h64d,12l4h64dsmalllr,False,False,False,False
1981,lower,c|cab|(bc)*,c + cab + (bc)*,1l4h16dsmalllr,2l1h16dsmalllr,False,True,True,True
1985,lower,(aa)*bb(a)*,(aa)*bb(a)*,4l4h64d,None,False,False,False,True
1999,lower,(c)*b|b(b)*,(c)*b + b(b)*,1l2h16d,1l2h16d,True,True,True,True
25,lower,a(bc)*,a(bc)*,1l1h64dsmalllr,1l1h256dsmalllr,False,True,True,True
250,lower,(ca(c)*)*,(ca(c)*)*,2l2h256d,12l12h768d,False,False,False,False
261,lower,(ca)*(ab)*,(ca)*(ab)*,4l1h256dsmalllr,2l4h256dsmalllr,False,True,True,True
265,lower,bab(ba)*,bab(ba)*,1l1h256dsmalllr,6l4h256dsmalllr,False,True,True,True
278,lower,((ac)*)*,((ac)*)*,1l1h256d,6l4h256dsmalllr,False,True,True,True
282,lower,bbbc(ca)*,bbbc(ca)*,1l2h64dsmalllr,6l4h64dsmalllr,False,True,True,True
283,lower,(ba|a|c)*,(ba + a + c)*,4l2h256d,2l2h256d,False,False,False,False
291,lower,(abcb)*,(abcb)*,1l1h64d,1l1h16d,False,True,True,True
292,lower,((a)*)*(cc)*,((a)*)*(cc)*,2l1h256dsmalllr,8l8h256dsmalllr,False,False,False,True
321,lower,cc|cc(bb)*,cc + cc(bb)*,2l2h256dsmalllr,6l4h256dsmalllr,False,False,False,True
331,lower,((b)*a|c)*,((b)*a + c)*,2l1h256d,6l8h64d,False,False,False,False
337,lower,bcba|(a)*aa,bcba + (a)*aa,1l1h16d,6l4h64d,True,True,True,True
345,lower,(ba)*cb|aa,(ba)*cb + aa,1l4h16dsmalllr,1l4h64dsmalllr,False,True,True,True
358,lower,a|c(a)*cb|a,a + c(a)*cb + a,1l2h16d,1l1h64d,True,True,True,True
37,lower,(baaa)*,(baaa)*,8l8h256dsmalllr,12l4h256d,False,True,True,True
377,lower,(cb(c)*)*,(cb(c)*)*,12l4h256d,2l4h256d,False,False,False,False
405,lower,(baa|b)*,(baa + b)*,12l12h768d,2l1h256d,False,False,False,False
41,lower,((b)*bc)*,((b)*bc)*,2l4h256d,12l8h64d,False,False,False,False
433,lower,ccc(b)*,ccc(b)*,1l1h16d,6l4h64d,True,True,True,True
