2l1h16d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.527		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.327		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.115		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l1h256d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.497		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.3		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h16d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.273		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.172		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.411		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.653		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.495		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h16d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.298		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.909		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.376		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h256d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.669		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.77		eval_len401-500_acc: 0.324 		lr: 0.0001
4l1h16d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.659		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h16d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.208		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.102		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.833		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.752		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.599		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h16d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.254		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h16d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.51		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.322		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.4		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h256d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.396		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.828		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h16d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.334		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h16d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.231		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.526		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.681		eval_len301-400_acc: 0.139		eval_len401-500_acc: 0.031 		lr: 0.0001
4l4h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.903		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.531		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
