2l1h16d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.422		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.628		eval_len401-500_acc: 0.014 		lr: 0.001
2l1h64d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.72		eval_len301-400_acc: 0.002		eval_len401-500_acc: 0.0 		lr: 0.0001
2l1h256d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.978		eval_len401-500_acc: 0.209 		lr: 0.001
2l1h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.862		eval_len301-400_acc: 0.052		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h16d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.597		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.976		eval_len301-400_acc: 0.101		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.643		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.997		eval_len301-400_acc: 0.489		eval_len401-500_acc: 0.016 		lr: 0.001
2l2h256d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.881		eval_len301-400_acc: 0.072		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.999		eval_len301-400_acc: 0.541		eval_len401-500_acc: 0.002 		lr: 0.001
2l4h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.99		eval_len301-400_acc: 0.36		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h256d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.932		eval_len301-400_acc: 0.028		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h16d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.315		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.932		eval_len301-400_acc: 0.106		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.323		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.997		eval_len301-400_acc: 0.649		eval_len401-500_acc: 0.008 		lr: 0.001
4l1h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.692		eval_len301-400_acc: 0.007		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h16d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.449		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.654		eval_len301-400_acc: 0.004		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.295		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.972		eval_len301-400_acc: 0.247		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.532		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h16d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.512		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h16d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.289		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.854		eval_len301-400_acc: 0.045		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.293		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.862		eval_len301-400_acc: 0.022		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.458		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
