name,formal_language,regex,config,R,CRasp,Rinf,R_G
ab_bb_aabb,(ab)^*bb(aabb)^*,(ab)*bb(aabb)*,2l4h256dsmalllr,False,True,True,True
362,(abb)^*(a)(c+a)(a)cbb+a^*(c),(abb)*(a)(c|a)(a)cbb|a*(c),4l2h256d,False,True,True,True
375,(b^*ca+ca)(ac+b)(c+a)^*(b)^*+(bc)^*(b+c)(c)+a(c)^*caa,(b*ca|ca)(ac|b)(c|a)*(b)*|(bc)*(b|c)(c)|a(c)*caa,4l4h64d,False,True,True,True
419,(b^*bc+bb)c(a)(a)c^*aa+(bc)^*(b)^*(b)b^*aa+(a+a)(b)aba+(c)^*c^*bc+b^*+bc+a,(b*bc|bb)c(a)(a)c*aa|(bc)*(b)*(b)b*aa|(a|a)(b)aba|(c)*c*bc|b*|bc|a,2l4h64d,False,True,True,True
503,(cba)^*a,(cba)*a,1l1h16d,False,True,True,True
53,(cac)^*b(b+c)^*a^*+bb+a(b)a^*ba+(a)^*c^*bb,(cac)*b(b|c)*a*|bb|a(b)a*ba|(a)*c*bb,4l2h64d,False,True,True,True
561,(cb)^*ab+(aa+a)^*a(a)bba,(cb)*ab|(aa|a)*a(a)bba,2l2h256dsmalllr,False,True,True,True
680,(ac+aa+c)(ca+b+b)(c+a)^*ba^*ab+(ab+c)^*(b+c)^*(b)^*a^*ac+c+b^*abc+b^*cb+bc+c+b,(ac|aa|c)(ca|b|b)(c|a)*ba*ab|(ab|c)*(b|c)*(b)*a*ac|c|b*abc|b*cb|bc|c|b,2l2h16d,False,True,True,True
691,(c^*cc+b)(bc)^*(c+a)^*+(bc+a)^*+b,(c*cc|b)(bc)*(c|a)*|(bc|a)*|b,2l4h64dsmalllr,False,True,True,True
717,(acc)^*+(ab+c+b)(a+b)^*+(a+b)+cabc,(acc)*|(ab|c|b)(a|b)*|(a|b)|cabc,2l1h16d,False,True,True,True
73,(cac)^*(ca+c+c)(c)(b)^*ccc+(ac+c+a)^*a^*(c)^*ba+(a+a)^*(a)a,(cac)*(ca|c|c)(c)(b)*ccc|(ac|c|a)*a*(c)*ba|(a|a)*(a)a,4l2h64d,False,True,True,True
86,(bcb)^*(b)(b)^*(c)^*a^*,(bcb)*(b)(b)*(c)*a*,2l1h16d,False,True,True,True
966,(a^*ac+ba+a+a)(ab+c)^*ba^*b^*bc,(a*ac|ba|a|a)(ab|c)*ba*b*bc,2l4h64d,False,True,True,True
104,(bcb+c+c+c)(bc+c+b)(b+a)^*(a)^*bba,(bcb|c|c|c)(bc|c|b)(b|a)*(a)*bba,2l1h256d,False,False,False,False
174,(a^*cc+bb+b)(ac)^*b^*+(c+b+b)^*(a)(b)a^*ba+(a+c)^*cc,(a*cc|bb|b)(ac)*b*|(c|b|b)*(a)(b)a*ba|(a|c)*cc,4l4h16d,False,False,False,False
180,(bcb+cb+a+c)^*,(bcb|cb|a|c)*,2l1h256d,False,False,False,False
547,(ccb+ac+c+b)+(cc+b)^*(b+c)^*(c)cba+a^*,(ccb|ac|c|b)|(cc|b)*(b|c)*(c)cba|a*,2l2h256d,False,False,False,False
565,b^*+(cb+a)^*(c+b)^*c^*c^*c+(a+a)^*(c)b^*+(b)^*,b*|(cb|a)*(c|b)*c*c*c|(a|a)*(c)b*|(b)*,2l4h256d,False,False,False,False
655,(b^*c+ba)^*c^*+(aa+b+c)(a+c)a^*ccc,(b*c|ba)*c*|(aa|b|c)(a|c)a*ccc,4l4h256d,False,False,False,False
683,(a^*ab+cb+a+c)^*,(a*ab|cb|a|c)*,2l2h256d,False,False,False,False
76,(cbb+cb+a+a)(ca+b+c)^*(c+b)^*(b)^*b^*+(cb)^*(a+b)(b)+b(b)c^*ba,(cbb|cb|a|a)(ca|b|c)*(c|b)*(b)*b*|(cb)*(a|b)(b)|b(b)c*ba,2l4h256dsmalllr,False,False,False,False
769,(b^*ab+ab+a+c)^*(cb+b)(b)^*+c^*(b+b)^*(c)^*,(b*ab|ab|a|c)*(cb|b)(b)*|c*(b|b)*(c)*,2l2h256d,False,False,False,False
829,(a^*bb+ba+b+b)^*+b^*(b+a)(c)acb+c(b)b^*b+aaba+cc,(a*bb|ba|b|b)*|b*(b|a)(c)acb|c(b)b*b|aaba|cc,4l2h64d,False,False,False,False
830,(c^*bb+bb+c)+(ab+c+c)^*ab+(b+c)^*a+ab,(c*bb|bb|c)|(ab|c|c)*ab|(b|c)*a|ab,2l2h256d,False,False,False,False
851,(c^*+bb+c+a)(ac+a)c(c)a^*ab+(cb+b+a)(a)a^*c+(c+b)^*(b)b^*a,(c*|bb|c|a)(ac|a)c(c)a*ab|(cb|b|a)(a)a*c|(c|b)*(b)b*a,2l4h256d,False,False,False,False
897,(b^*ca+cb+b)^*(a+a)(b+a)a,(b*ca|cb|b)*(a|a)(b|a)a,2l4h256d,False,False,False,False
926,(baa+ab+b)^*,(baa|ab|b)*,2l4h64d,False,False,False,False
927,(c^*+ac+a+b)^*b^*(c+b),(c*|ac|a|b)*b*(c|b),2l4h256d,False,False,False,False
